Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Base Currency, Plan Type (Consol), Aggregation (Consol), Data Storage (Consol), Formula (Consol), Solve Order (Consol), Formula Description (Consol), Plan Type (Rates), Aggregation (Rates), Data Storage (Rates), Formula (Rates), Solve Order (Rates), Formula Description (Rates), Intercompany Entity, Operation
FCCS_Global Assumptions,Entity,,,store,,,,,,,,,,,,,,52bb8c9f-8c88-47ab-b010-b6e6c2fc9ede,42481362554517,FCCS_Global Assumptions,<none>,,,,,,,,,,,,,,,reposition only
FCCS_Total Geography,Entity,,,never share,,,,,,,,,,,,,,a3219b76-0123-48f0-acb9-b4eaea463c31,1265652712426626,FCCS_Total Geography,<none>,,,,,,,,,,,,,,,reposition only
Industrial Segment,FCCS_Total Geography,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1b22f5c8-5725-420d-ba57-3950e58f2878,1200408180442273,Industrial Segment,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
I/C East & West,Industrial Segment,I/C East & West,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4e165acf-33d5-43e3-977b-8f9354921f02,2681117150497934,I/C East & West,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_002,I/C East & West,BPS - TUBULAR,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,dbcf8a00-373b-4155-915f-8fb4caaab2db,704173031638938,01_002,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_003,I/C East & West,BPS - IMPERIAL,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,f01dfebc-e500-419c-bec9-fc87ef5ce073,1825443298034605,01_003,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Fellows - BPS,I/C East & West,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,24951dea-ef92-4708-b476-d941a47a7a11,2010985214986147,Fellows - BPS,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_004,Fellows - BPS,Fellows,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3e623def-7906-4440-9f06-f20f1302f6f3,3068917092992443,01_004,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
4B,Fellows - BPS,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0aafdfba-381a-4c8b-bd39-57c662dadb0e,3084071876774459,4B,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
4D,Fellows - BPS,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,34efb4f8-00e9-42d4-bada-6097696974c1,1069035492625251,4D,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
4E,Fellows - BPS,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a6566547-c4c2-4a29-bf88-624f7da2ccc8,3905971089985124,4E,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
4F,Fellows - BPS,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,159ee221-24d1-4008-a55d-7a868dba6767,4106967449947558,4F,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_005,I/C East & West,BPS - SEATTLE,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c09888dc-0d01-4b3a-b6f4-8ed3c7ed17a7,1331164919384513,01_005,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Long Beach - BPS,I/C East & West,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,30bc6f93-cf35-4726-a82d-e30c7a7c24f6,1294533129748650,Long Beach - BPS,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_006,Long Beach - BPS,Long Beach (BPS),false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8fc2ca6f-5f2c-4410-b147-896900f4b07c,2742135689201883,01_006,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
6A,Long Beach - BPS,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,350eb5c2-d0c2-4264-9887-7b0e55e86f0f,1650785831899112,6A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Stockton CA,I/C East & West,STOCKTON - CA,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1e339e63-9d76-4768-84a7-fb98e5dbe603,1035623652216760,Stockton CA,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
