Movement, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (Consol), Aggregation (Consol), Data Storage (Consol), Formula (Consol), Solve Order (Consol), Formula Description (Consol), Is Default Movement, Operation
FCCS_Movements,Movement,,,dynamic calc,,,,,,,,,,,,,,09a6fa12-ec72-4e47-9f6d-6b45f25d650f,444759736272731,FCCS_Movements,<none>,,,,,,,,reposition only
FCCS_No Movement,FCCS_Movements,,,store,,,,,,,,,,,,,,67215df7-730f-4b36-bd05-f1e86012f774,1577018821920420,FCCS_No Movement,<none>,,,,,,,,reposition only
FCCS_ClosingBalance,FCCS_Movements,,,dynamic calc,,,,,,,,,,,,,,81d55741-4485-4100-8f15-4e38d5f4f9c7,4339507078516640,FCCS_ClosingBalance,[FCCS_Movements].[FCCS_ClosingBalance],,,,,,,,reposition only
FCCS_TotalOpeningBalance,FCCS_ClosingBalance,,,dynamic calc,,,,,,,,,,,,,,fd5f6650-fb0f-4183-9270-a8945c352ee5,840187393885693,FCCS_TotalOpeningBalance,<none>,,,,,,,,reposition only
FCCS_OpeningBalance,FCCS_TotalOpeningBalance,,,never share,,,,,,,,,,,,,,f15317ee-bf19-48f0-891e-a30674256093,1414742518875095,FCCS_OpeningBalance,<none>,,,,,,,,reposition only
FCCS_OpeningBalanceAdjustment,FCCS_TotalOpeningBalance,,,never share,,,,,,,,,,,,,,c8ce4218-545b-4850-afb4-4adcd8c05442,126669395149898,FCCS_OpeningBalanceAdjustment,<none>,,,,,,,,reposition only
FCCS_Mvmts_Total,FCCS_ClosingBalance,,,dynamic calc,,,,,,,,,,,,,,ab9549ea-3d78-47f8-b053-9f16eb63ed67,2165301764178717,FCCS_Mvmts_Total,<none>,,,,,,,,reposition only
FCCS_Mvmts_Subtotal,FCCS_Mvmts_Total,,,dynamic calc,,,,,,,,,,,,,,f7d445be-fb36-4f37-88e5-dc20bf96b9ce,3459281214194119,FCCS_Mvmts_Subtotal,<none>,,,,,,,,reposition only
FCCS_Mvmts_Cash,FCCS_Mvmts_Subtotal,,,never share,,,,,,,,,,,,,,6142489f-0a69-4fb0-90dc-4df135805190,911413650607808,FCCS_Mvmts_Cash,<none>,,,,,,,,reposition only
FCCS_Mvmts_Operating,FCCS_Mvmts_Subtotal,,,dynamic calc,,,,,,,,,,,,,,282ff9a5-7fb0-47c7-baad-bba293cb33f3,3640419100805048,FCCS_Mvmts_Operating,<none>,,,,,,,,reposition only
FCCS_Mvmts_NetIncome,FCCS_Mvmts_Operating,,,never share,,,,,,,,,,,,,,6a5f5771-6648-46e2-8081-aded21651650,1581890800732202,FCCS_Mvmts_NetIncome,[FCCS_Mvmts_Operating].[FCCS_Mvmts_NetIncome],,,,,,,,reposition only
FCC_ICE_NetIncome,FCCS_Mvmts_Operating,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0627580b-3efd-44f5-9707-380d0009fb2f,3256598635038602,FCC_ICE_NetIncome,<none>,true,+,never share,<none>,0,,,
Mvmts_Non-Cash Interest Expense,FCCS_Mvmts_Operating,Non-Cash Interest Expense,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,563634cc-44a7-452c-8fb8-f14bb7812377,2705568449709645,Mvmts_Non-Cash Interest Expense,[FCCS_Mvmts_Operating].[Mvmts_Non-Cash Interest Expense],true,+,never share,<none>,0,,,
Mvmts_Non-Cash(Gain)/Loss,FCCS_Mvmts_Operating,Non-Cash (Gain) / Loss,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,287277e4-a4ee-47dd-b3fa-f6420f8b000b,1440244375110466,Mvmts_Non-Cash(Gain)/Loss,[FCCS_Mvmts_Operating].[Mvmts_Non-Cash(Gain)/Loss],true,+,never share,<none>,0,,,
Mvmts_Cash(Gain)/Loss,FCCS_Mvmts_Operating,Cash (Gain) / Loss,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,4a3a0fd3-322c-4f76-9e8a-f0fbb9e1b27d,761014785756611,Mvmts_Cash(Gain)/Loss,[FCCS_Mvmts_Operating].[Mvmts_Cash(Gain)/Loss],true,+,dynamic calc,<none>,0,,,
Mvmts_Intercompany,FCCS_Mvmts_Operating,Change in Intercompany,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,926e79b8-94f4-4bab-b5f2-708dc03e0d67,3673536252299995,Mvmts_Intercompany,[FCCS_Mvmts_Operating].[Mvmts_Intercompany],true,+,never share,<none>,0,,,
FCCS_Mvmts_AdjustmentsToNetIncome,FCCS_Mvmts_Operating,,,dynamic calc,,,,,,,,,,,,,,941a07dc-2a24-4823-b851-4ed104d5b76f,1003165922248740,FCCS_Mvmts_AdjustmentsToNetIncome,<none>,,,,,,,,reposition only
FCCS_Mvmts_DepreciationAndAmortization,FCCS_Mvmts_AdjustmentsToNetIncome,,,never share,,,,,,,,,,,,,,753bea5a-2ea2-4102-a779-8dfa8cb319be,3713987703619658,FCCS_Mvmts_DepreciationAndAmortization,[FCCS_Mvmts_AdjustmentsToNetIncome].[FCCS_Mvmts_DepreciationAndAmortization],,,,,,,,reposition only
Mvmts_Depreciation,FCCS_Mvmts_AdjustmentsToNetIncome,Changes in Depreciation,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d03a4fc9-e952-4389-a203-24b917ed9ffa,2425319570097245,Mvmts_Depreciation,[FCCS_Mvmts_AdjustmentsToNetIncome].[Mvmts_Depreciation],true,+,never share,<none>,0,,,
Mvmts_Amortization,FCCS_Mvmts_AdjustmentsToNetIncome,Changes in Amortization,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4ea234ed-2fdc-4304-9852-0b48842e5a55,528376975802541,Mvmts_Amortization,[FCCS_Mvmts_AdjustmentsToNetIncome].[Mvmts_Amortization],true,+,never share,<none>,0,,,
FCCS_Mvmts_ChangesInNetAssets,FCCS_Mvmts_Operating,,,dynamic calc,,,,,,,,,,,,,,b0374f2c-9283-4798-b8db-f2fc8358357f,3302578350932348,FCCS_Mvmts_ChangesInNetAssets,<none>,,,,,,,,reposition only
FCCS_Mvmts_AccountsReceivable,FCCS_Mvmts_ChangesInNetAssets,,,never share,,,,,,,,,,,,,,2f097e8b-61e6-471b-8418-938b36e96f3e,4435003099597380,FCCS_Mvmts_AccountsReceivable,[FCCS_Mvmts_ChangesInNetAssets].[FCCS_Mvmts_AccountsReceivable],,,,,,,,reposition only
FCCS_Mvmts_Inventories,FCCS_Mvmts_ChangesInNetAssets,,,never share,,,,,,,,,,,,,,7eebd15a-dce1-44e3-87fc-49f2d5eee450,2962177988119649,FCCS_Mvmts_Inventories,[FCCS_Mvmts_ChangesInNetAssets].[FCCS_Mvmts_Inventories],,,,,,,,reposition only
FCCS_Mvmts_OtherCurrentAssets,FCCS_Mvmts_ChangesInNetAssets,,,never share,,,,,,,,,,,,,,bceb4993-7a81-441b-ba7f-45f56a050d29,1231110207717512,FCCS_Mvmts_OtherCurrentAssets,[FCCS_Mvmts_ChangesInNetAssets].[FCCS_Mvmts_OtherCurrentAssets],,,,,,,,reposition only
FCCS_Mvmts_AccountsPayable,FCCS_Mvmts_ChangesInNetAssets,,,never share,,,,,,,,,,,,,,cbef4c5d-3a62-4496-98af-ffc4f8c3f804,2434552110795872,FCCS_Mvmts_AccountsPayable,[FCCS_Mvmts_ChangesInNetAssets].[FCCS_Mvmts_AccountsPayable],,,,,,,,reposition only
FCCS_Mvmts_OtherCurrentLiabilities,FCCS_Mvmts_ChangesInNetAssets,,,never share,,,,,,,,,,,,,,e7ac9be7-f80f-4636-a60b-d2edbf890357,203525406477436,FCCS_Mvmts_OtherCurrentLiabilities,[FCCS_Mvmts_ChangesInNetAssets].[FCCS_Mvmts_OtherCurrentLiabilities],,,,,,,,reposition only
Mvmts_OtherAssets,FCCS_Mvmts_ChangesInNetAssets,Change in Other Assets,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,239c66d8-1b54-4a5a-a160-2365816a83ec,3139158188377321,Mvmts_OtherAssets,[FCCS_Mvmts_ChangesInNetAssets].[Mvmts_OtherAssets],true,+,never share,<none>,0,,,
Mvmts_OtherLiabilities,FCCS_Mvmts_ChangesInNetAssets,Change in Other Liabilities,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4fd0eae0-92dc-4ec2-a353-b658d232487f,96411069991280,Mvmts_OtherLiabilities,[FCCS_Mvmts_ChangesInNetAssets].[Mvmts_OtherLiabilities],true,+,never share,<none>,0,,,
Mvmts_Prepaid Assets,FCCS_Mvmts_Operating,Change in Prepaid Assets,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b523810b-4023-4123-83ea-ef3e9c59caf6,4344583421578717,Mvmts_Prepaid Assets,[FCCS_Mvmts_Operating].[Mvmts_Prepaid Assets],true,+,never share,<none>,0,,,
Mvmts_Operating Lease ROU Assets,FCCS_Mvmts_Operating,Change in Operating Lease ROU Assets,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5a2e595c-434e-4ff3-af9c-7de8b413fc46,3739071035362544,Mvmts_Operating Lease ROU Assets,[FCCS_Mvmts_Operating].[Mvmts_Operating Lease ROU Assets],true,+,never share,<none>,0,,,
Mvmts_Finance Lease ROU Assets,FCCS_Mvmts_Operating,Change in Finance Lease ROU Assets,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8a37d491-a167-4d65-a652-4a4d882756e0,1008370172445794,Mvmts_Finance Lease ROU Assets,[FCCS_Mvmts_Operating].[Mvmts_Finance Lease ROU Assets],true,+,never share,<none>,0,,,
Mvmts_Accrued Expenses,FCCS_Mvmts_Operating,Change in Accrued Expenses,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7a8d7437-4665-4695-b791-925e5505cc8e,2600263622672919,Mvmts_Accrued Expenses,[FCCS_Mvmts_Operating].[Mvmts_Accrued Expenses],true,+,never share,<none>,0,,,
Mvmts_Operating Lease Liabilities,FCCS_Mvmts_Operating,Change in Operating Lease Liabilities,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ab8094e3-07a0-4e9c-8e39-1fb16ba1f68c,3787240376978048,Mvmts_Operating Lease Liabilities,[FCCS_Mvmts_Operating].[Mvmts_Operating Lease Liabilities],true,+,never share,<none>,0,,,
FCCS_Mvmts_Investing,FCCS_Mvmts_Subtotal,,,dynamic calc,,,,,,,,,,,,,,a5909a29-78cb-411a-9114-d68ccef222b1,2019310050820678,FCCS_Mvmts_Investing,<none>,,,,,,,,reposition only
FCCS_Mvmts_CapitalExpenditures,FCCS_Mvmts_Investing,,,never share,,,,,,,,,,,,,,550f1a87-734d-4d87-8997-a97300dd019c,320624764011104,FCCS_Mvmts_CapitalExpenditures,[FCCS_Mvmts_Investing].[FCCS_Mvmts_CapitalExpenditures],,,,,,,,reposition only
FCCS_Mvmts_ProceedsFromSalesOfPPE,FCCS_Mvmts_Investing,,,never share,,,,,,,,,,,,,,7f087464-0a1b-4a01-b891-57dc638722e7,1380533978942051,FCCS_Mvmts_ProceedsFromSalesOfPPE,[FCCS_Mvmts_Investing].[FCCS_Mvmts_ProceedsFromSalesOfPPE],,,,,,,,reposition only
FCCS_Mvmts_OtherInvestingActivities,FCCS_Mvmts_Investing,,,never share,,,,,,,,,,,,,,1efd6938-7218-4994-8fd1-0d98a3dd5c84,2300899442837554,FCCS_Mvmts_OtherInvestingActivities,[FCCS_Mvmts_Investing].[FCCS_Mvmts_OtherInvestingActivities],,,,,,,,reposition only
Mvmts_Asset Disposals,FCCS_Mvmts_Investing,Asset Disposals,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3cc82d5e-b972-4a70-b22c-cfca0ebba7b5,1413400268261932,Mvmts_Asset Disposals,[FCCS_Mvmts_Investing].[Mvmts_Asset Disposals],true,+,never share,<none>,0,,,
Mvmts_Other Fixed Asset Changes,FCCS_Mvmts_Investing,Other Fixed Asset Changes,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e76c8ccc-33d8-44a3-90ef-6b048352ab38,3500176836152371,Mvmts_Other Fixed Asset Changes,[FCCS_Mvmts_Investing].[Mvmts_Other Fixed Asset Changes],true,+,never share,<none>,0,,,
