WACC,Terminal_Growth,Enterprise_Value,Equity_Value
8.0%,1.50%,283698875.04543364,284465909.29543364
8.0%,2.00%,302353310.6195458,303120344.8695458
8.0%,2.50%,324399461.7525874,325166496.0025874
8.0%,3.00%,350854843.1122372,351621877.3622372
8.0%,3.50%,383189198.1073649,383956232.3573649
9.0%,1.50%,245492351.79419214,246259386.04419214
9.0%,2.00%,258848352.91923785,259615387.16923785
9.0%,2.50%,274259123.4481366,275026157.6981366
9.0%,3.00%,292238355.7318519,293005389.9818519
9.0%,3.50%,313486539.33987904,314253573.58987904
10.0%,1.50%,216286400.30158272,217053434.55158272
10.0%,2.00%,226228133.15182626,226995167.40182626
10.0%,2.50%,237495430.38210216,238262464.63210216
10.0%,3.00%,250372341.50241753,251139375.75241753
10.0%,3.50%,265230315.8720122,265997350.1220122
11.0%,1.50%,193238313.24517697,194005347.49517697
11.0%,2.00%,200864083.41780305,201631117.66780305
11.0%,2.50%,209387003.02250278,210154037.27250278
11.0%,3.00%,218975287.57778996,219742321.82778996
11.0%,3.50%,229842010.0737821,230609044.3237821
12.0%,1.50%,174588339.9791574,175355374.2291574
12.0%,2.00%,180579078.33627993,181346112.58627993
12.0%,2.50%,187200420.73099422,187967454.98099422
12.0%,3.00%,194557467.83623242,195324502.08623242
12.0%,3.50%,202780049.895028,203547084.145028
